# 本 snapshot 產生於 commit 482bacf（161 tests）
# 此為修復後現況基準，非跨版本永恆正確性證明。
# 產生時 §11.1 待決項為 53 項。
#
# 產生時之已知問題狀態：
#   [已修] 1. 旬空、月破顯示佔位符（L2 未接通）
#   [已修] 2. 逐爻推導全部「未有對應模板」
#   [已修] 3. 多軌頁只顯示三本、標「三家共識」
#   [已修] 4. 原文摺疊區「未提供逐字原文」
#   [已修] 5. 卦名不完整（「水雷」缺「屯」）—— L1 運算層
#   [已修] 6. 伏神 dump JSON、內部 TODO 標記洩漏
#   [已修] 7. 用神選擇疑無實際作用（L3）
#
# K／Y 僅呈現多軌材料，未把空亡、沖散或四神判語應用為效果語義。
case_index,hexagram_id,hexagram_name,lines,moving_mask,moving_positions,moving_count_expected,moving_count_actual,changed_lines_complete,hidden_count,failed_checks,placeholder_checks,exception_type,exception_message,result_class
175,3,天山遯,001111,46,2|3|4|6,4,4,true,2,,,,,normal
176,3,天山遯,001111,47,1|2|3|4|6,5,5,true,2,,,,,normal
177,3,天山遯,001111,48,5|6,2,2,true,2,,,,,normal
178,3,天山遯,001111,49,1|5|6,3,3,true,2,,,,,normal
179,3,天山遯,001111,50,2|5|6,3,3,true,2,,,,,normal
180,3,天山遯,001111,51,1|2|5|6,4,4,true,2,,,,,normal
181,3,天山遯,001111,52,3|5|6,3,3,true,2,,,,,normal
182,3,天山遯,001111,53,1|3|5|6,4,4,true,2,,,,,normal
183,3,天山遯,001111,54,2|3|5|6,4,4,true,2,,,,,normal
184,3,天山遯,001111,55,1|2|3|5|6,5,5,true,2,,,,,normal
185,3,天山遯,001111,56,4|5|6,3,3,true,2,,,,,normal
186,3,天山遯,001111,57,1|4|5|6,4,4,true,2,,,,,normal
187,3,天山遯,001111,58,2|4|5|6,4,4,true,2,,,,,normal
188,3,天山遯,001111,59,1|2|4|5|6,5,5,true,2,,,,,normal
189,3,天山遯,001111,60,3|4|5|6,4,4,true,2,,,,,normal
190,3,天山遯,001111,61,1|3|4|5|6,5,5,true,2,,,,,normal
191,3,天山遯,001111,62,2|3|4|5|6,5,5,true,2,,,,,normal
192,3,天山遯,001111,63,1|2|3|4|5|6,6,6,true,2,,,,,normal
193,4,天地否,000111,0,,0,0,true,1,,,,,normal
194,4,天地否,000111,1,1,1,1,true,1,,,,,normal
