# 本 snapshot 產生於 commit 06167f7（133 tests）
# 此為修復後現況基準，非跨版本永恆正確性證明。
#
# 產生時之已知問題狀態：
#   [已修] 1. 旬空、月破顯示佔位符（L2 未接通）
#   [已修] 2. 逐爻推導全部「未有對應模板」
#   [已修] 3. 多軌頁只顯示三本、標「三家共識」
#   [部分修復] 4. 原文摺疊區主流程已接通；C1-R2／增刪卜易仍有一格原文 fallback 缺口
#   [已修] 5. 卦名不完整（「水雷」缺「屯」）—— L1 運算層
#   [未修] 6. 伏神 dump JSON、內部 TODO 標記洩漏
#   [已修] 7. 用神選擇疑無實際作用（L3）
#
# 後續修復 4、6 後須重新產生 snapshot 並更新本檔頭。
case_index,hexagram_id,hexagram_name,moving_pattern,moving_positions,month_branch,day_ganzhi,xunkong,month_break_branch,seasonal_states,empty_line_count,month_break_line_count,template_missing_lines,template_missing_contexts,c1_hits,c15_hits,failed_checks,placeholder_checks,exception_type,exception_message,result_class
104,1,乾為天,static,,丑,丁未,寅|卯,未,死|囚|旺|休|相|旺,1,0,,,,,,,,,normal
105,1,乾為天,static,,丑,戊申,寅|卯,未,死|囚|旺|休|相|旺,1,0,,,2:休囚之爻遇日沖,2:空爻遇沖,,,,,normal
106,1,乾為天,static,,丑,己酉,寅|卯,未,死|囚|旺|休|相|旺,1,0,,,,,,,,,normal
107,1,乾為天,static,,丑,庚戌,寅|卯,未,死|囚|旺|休|相|旺,1,0,,,3:旺相之爻遇沖,3:靜爻遇沖,,,,,normal
108,1,乾為天,static,,丑,辛亥,寅|卯,未,死|囚|旺|休|相|旺,1,0,,,,,,,,,normal
109,1,乾為天,static,,丑,壬子,寅|卯,未,死|囚|旺|休|相|旺,1,0,,,4:休囚之爻遇日沖,4:靜爻遇沖,,,,,normal
110,1,乾為天,static,,丑,癸丑,寅|卯,未,死|囚|旺|休|相|旺,1,0,,,,,,,,,normal
111,1,乾為天,static,,丑,甲寅,子|丑,未,死|囚|旺|休|相|旺,1,0,,,5:旺相之爻遇沖,5:靜爻遇沖,,,,,normal
112,1,乾為天,static,,丑,乙卯,子|丑,未,死|囚|旺|休|相|旺,1,0,,,,,,,,,normal
113,1,乾為天,static,,丑,丙辰,子|丑,未,死|囚|旺|休|相|旺,1,0,,,6:旺相之爻遇沖,6:靜爻遇沖,,,,,normal
114,1,乾為天,static,,丑,丁巳,子|丑,未,死|囚|旺|休|相|旺,1,0,,,,,,,,,normal
115,1,乾為天,static,,丑,戊午,子|丑,未,死|囚|旺|休|相|旺,1,0,,,,1:空爻遇沖,,,,,normal
116,1,乾為天,static,,丑,己未,子|丑,未,死|囚|旺|休|相|旺,1,0,,,,,,,,,normal
117,1,乾為天,static,,丑,庚申,子|丑,未,死|囚|旺|休|相|旺,1,0,,,2:休囚之爻遇日沖,2:靜爻遇沖,,,,,normal
118,1,乾為天,static,,丑,辛酉,子|丑,未,死|囚|旺|休|相|旺,1,0,,,,,,,,,normal
119,1,乾為天,static,,丑,壬戌,子|丑,未,死|囚|旺|休|相|旺,1,0,,,3:旺相之爻遇沖,3:靜爻遇沖,,,,,normal
120,1,乾為天,static,,丑,癸亥,子|丑,未,死|囚|旺|休|相|旺,1,0,,,,,,,,,normal
121,1,乾為天,static,,寅,甲子,戌|亥,申,休|旺|死|相|囚|死,1,1,,,4:旺相之爻遇沖,4:靜爻遇沖|5:靜爻遇沖,,,,,normal
122,1,乾為天,static,,寅,乙丑,戌|亥,申,休|旺|死|相|囚|死,1,1,,,,5:靜爻遇沖,,,,,normal
123,1,乾為天,static,,寅,丙寅,戌|亥,申,休|旺|死|相|囚|死,1,1,,,5:休囚之爻遇日沖,5:靜爻遇沖,,,,,normal
124,1,乾為天,static,,寅,丁卯,戌|亥,申,休|旺|死|相|囚|死,1,1,,,,5:靜爻遇沖,,,,,normal
125,1,乾為天,static,,寅,戊辰,戌|亥,申,休|旺|死|相|囚|死,1,1,,,,5:靜爻遇沖|6:空爻遇沖,,,,,normal
126,1,乾為天,static,,寅,己巳,戌|亥,申,休|旺|死|相|囚|死,1,1,,,,5:靜爻遇沖,,,,,normal
127,1,乾為天,static,,寅,庚午,戌|亥,申,休|旺|死|相|囚|死,1,1,,,1:休囚之爻遇日沖,1:靜爻遇沖|5:靜爻遇沖,,,,,normal
128,1,乾為天,static,,寅,辛未,戌|亥,申,休|旺|死|相|囚|死,1,1,,,,5:靜爻遇沖,,,,,normal
129,1,乾為天,static,,寅,壬申,戌|亥,申,休|旺|死|相|囚|死,1,1,,,2:臨日月之爻遇沖|5:臨日月之爻遇沖,2:靜爻遇沖|5:靜爻遇沖,,,,,normal
130,1,乾為天,static,,寅,癸酉,戌|亥,申,休|旺|死|相|囚|死,1,1,,,,5:靜爻遇沖,,,,,normal
131,1,乾為天,static,,寅,甲戌,申|酉,申,休|旺|死|相|囚|死,1,1,,,,3:靜爻遇沖|5:空爻遇沖,,,,,normal
132,1,乾為天,static,,寅,乙亥,申|酉,申,休|旺|死|相|囚|死,1,1,,,,5:空爻遇沖,,,,,normal
133,1,乾為天,static,,寅,丙子,申|酉,申,休|旺|死|相|囚|死,1,1,,,4:旺相之爻遇沖,4:靜爻遇沖|5:空爻遇沖,,,,,normal
134,1,乾為天,static,,寅,丁丑,申|酉,申,休|旺|死|相|囚|死,1,1,,,,5:空爻遇沖,,,,,normal
135,1,乾為天,static,,寅,戊寅,申|酉,申,休|旺|死|相|囚|死,1,1,,,5:休囚之爻遇日沖,5:空爻遇沖,,,,,normal
136,1,乾為天,static,,寅,己卯,申|酉,申,休|旺|死|相|囚|死,1,1,,,,5:空爻遇沖,,,,,normal
137,1,乾為天,static,,寅,庚辰,申|酉,申,休|旺|死|相|囚|死,1,1,,,,5:空爻遇沖|6:靜爻遇沖,,,,,normal
138,1,乾為天,static,,寅,辛巳,申|酉,申,休|旺|死|相|囚|死,1,1,,,,5:空爻遇沖,,,,,normal
139,1,乾為天,static,,寅,壬午,申|酉,申,休|旺|死|相|囚|死,1,1,,,1:休囚之爻遇日沖,1:靜爻遇沖|5:空爻遇沖,,,,,normal
140,1,乾為天,static,,寅,癸未,申|酉,申,休|旺|死|相|囚|死,1,1,,,,5:空爻遇沖,,,,,normal
141,1,乾為天,static,,寅,甲申,午|未,申,休|旺|死|相|囚|死,1,1,,,2:臨日月之爻遇沖|5:臨日月之爻遇沖,2:靜爻遇沖|5:靜爻遇沖,,,,,normal
142,1,乾為天,static,,寅,乙酉,午|未,申,休|旺|死|相|囚|死,1,1,,,,5:靜爻遇沖,,,,,normal
143,1,乾為天,static,,寅,丙戌,午|未,申,休|旺|死|相|囚|死,1,1,,,,3:靜爻遇沖|5:靜爻遇沖,,,,,normal
144,1,乾為天,static,,寅,丁亥,午|未,申,休|旺|死|相|囚|死,1,1,,,,5:靜爻遇沖,,,,,normal
145,1,乾為天,static,,寅,戊子,午|未,申,休|旺|死|相|囚|死,1,1,,,4:旺相之爻遇沖,4:空爻遇沖|5:靜爻遇沖,,,,,normal
146,1,乾為天,static,,寅,己丑,午|未,申,休|旺|死|相|囚|死,1,1,,,,5:靜爻遇沖,,,,,normal
147,1,乾為天,static,,寅,庚寅,午|未,申,休|旺|死|相|囚|死,1,1,,,5:休囚之爻遇日沖,5:靜爻遇沖,,,,,normal
148,1,乾為天,static,,寅,辛卯,午|未,申,休|旺|死|相|囚|死,1,1,,,,5:靜爻遇沖,,,,,normal
149,1,乾為天,static,,寅,壬辰,午|未,申,休|旺|死|相|囚|死,1,1,,,,5:靜爻遇沖|6:靜爻遇沖,,,,,normal
150,1,乾為天,static,,寅,癸巳,午|未,申,休|旺|死|相|囚|死,1,1,,,,5:靜爻遇沖,,,,,normal
151,1,乾為天,static,,寅,甲午,辰|巳,申,休|旺|死|相|囚|死,1,1,,,1:休囚之爻遇日沖,1:靜爻遇沖|5:靜爻遇沖,,,,,normal
152,1,乾為天,static,,寅,乙未,辰|巳,申,休|旺|死|相|囚|死,1,1,,,,5:靜爻遇沖,,,,,normal
